,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
0,0.0,10.75,7.0,15.25,27.75,8.0,6.5,6.0,8.0,0.0,15.0,9.0,6.5,48.5,27.75,39.0,83.25,32.75,77.5,83.5,61.5,39.0,16.75,19.25,6.75,0.0,0.0,9.75,32.25,13.0,17.0,0.0,18.5,6.75,10.0,23.5,17.25,21.75,7.0,7.25,14.0,27.25,5.5,45.75,38.75,20.75,42.75,0.0,3.75,10.75,0.0,,
1,0.0,4.25,0.0,7.5,11.5,11.5,14.5,9.0,15.25,6.5,19.75,12.5,35.25,38.75,64.75,0.0,76.25,93.0,33.75,46.25,52.25,34.0,11.0,30.5,20.25,10.0,14.25,17.25,7.25,34.0,0.0,19.75,18.25,16.75,3.5,7.5,17.5,15.0,18.0,3.75,30.75,4.0,9.5,19.25,23.0,54.0,18.25,40.25,8.25,6.75,12.0,,
2,0.0,8.75,4.5,21.0,35.75,17.0,7.5,3.5,2.75,7.0,6.75,20.75,21.5,51.75,38.0,45.5,85.5,40.25,64.75,77.25,89.5,39.75,14.5,22.75,3.5,0.0,17.25,7.0,43.75,17.5,6.5,0.0,28.5,7.75,7.75,23.25,19.0,27.75,8.25,8.0,10.0,41.5,5.5,53.5,45.75,31.25,29.75,0.0,7.5,15.0,0.0,,
3,0.0,5.0,12.0,17.5,16.5,4.25,12.0,3.25,13.75,0.0,21.0,16.5,15.5,53.25,32.75,73.0,59.0,31.75,82.5,72.25,68.0,49.25,18.25,19.25,11.25,3.5,15.75,10.75,40.75,6.5,4.5,0.0,17.25,3.75,11.25,15.25,10.5,14.75,0.0,7.25,8.5,39.5,6.5,33.25,59.5,30.25,28.75,0.0,5.25,9.25,0.0,,
4,0.0,13.0,4.0,8.75,18.75,14.75,16.0,16.5,8.75,3.0,14.75,10.0,20.75,48.25,35.25,21.0,72.5,70.25,52.75,64.25,15.5,47.75,23.75,30.5,16.5,4.0,13.0,2.75,9.25,25.25,0.0,7.5,33.75,17.5,10.25,11.75,12.0,27.0,4.0,4.25,28.75,9.75,4.25,15.25,32.0,28.5,21.75,12.0,0.0,10.25,6.75,,
5,0.0,9.0,18.0,22.0,26.0,26.5,4.0,7.0,10.5,3.75,18.75,17.25,13.75,58.25,25.0,57.75,51.0,49.25,91.75,69.5,56.75,28.75,20.25,30.5,8.0,0.0,30.25,10.75,48.75,19.5,15.75,0.0,8.0,7.75,8.0,11.75,11.5,24.5,4.25,17.75,30.25,33.0,10.5,39.0,38.75,44.5,19.5,0.0,4.5,4.25,0.0,,
6,0.0,6.0,0.0,13.5,10.5,24.5,13.75,8.0,7.5,10.75,16.75,7.5,24.5,29.0,31.0,24.5,70.75,88.75,37.0,34.5,29.0,40.0,4.0,15.25,5.5,3.75,12.5,17.5,6.25,22.5,3.25,8.25,7.75,3.25,6.75,6.75,20.0,9.5,13.5,0.0,13.0,0.0,12.75,27.75,35.75,35.0,22.75,16.25,3.75,12.5,8.75,,
7,0.0,8.25,0.0,4.25,0.0,16.25,15.25,15.5,16.25,12.75,13.75,3.5,32.25,33.5,29.0,0.0,56.0,87.0,51.25,32.25,31.5,67.0,19.25,14.25,14.0,6.5,11.25,28.25,3.75,28.25,0.0,15.25,25.5,25.0,10.25,11.0,10.25,25.0,26.0,4.25,23.25,12.5,0.0,16.25,13.0,60.0,23.5,34.5,12.25,14.25,16.75,,
8,0.0,5.0,3.0,10.0,2.75,15.0,24.25,7.5,13.75,10.75,13.0,2.25,15.25,52.25,43.75,12.5,76.25,66.5,62.0,75.25,61.0,63.0,9.75,33.25,11.25,8.0,9.25,26.25,7.5,29.0,2.5,14.0,28.5,21.25,13.5,15.25,25.75,31.75,2.75,2.75,28.0,21.25,18.5,22.0,31.75,59.75,34.0,33.0,3.0,11.25,13.25,,
9,0.0,4.25,0.0,7.5,14.0,10.75,3.5,9.0,4.5,5.5,13.75,6.0,25.25,41.25,46.25,30.25,72.75,70.0,58.75,67.0,45.5,51.5,12.75,19.75,13.75,5.75,10.0,10.0,20.75,17.0,0.0,6.75,21.75,13.0,7.0,21.0,6.5,20.5,11.25,8.5,15.75,17.75,15.0,25.0,20.0,28.75,16.75,15.75,4.25,6.0,0.0,,
10,0.0,8.5,0.0,17.0,44.5,22.25,4.0,3.25,6.25,0.0,14.0,24.25,13.5,43.25,34.5,22.0,53.5,43.0,89.25,76.0,49.75,52.0,43.5,33.25,15.75,3.5,18.5,11.0,18.5,7.25,18.75,0.0,24.5,15.0,7.5,23.25,11.25,8.0,11.75,8.5,14.25,74.0,15.75,32.75,23.0,32.75,14.75,0.0,4.25,3.75,0.0,,
11,,8.0,15.75,10.5,7.75,0.0,16.75,7.5,23.0,0.0,12.75,23.5,10.75,23.25,29.25,31.5,59.75,54.5,71.0,62.75,66.0,62.0,23.75,27.75,10.75,5.5,5.5,14.75,11.25,20.0,5.75,0.0,28.5,7.5,6.75,8.75,15.0,16.25,12.75,4.25,22.25,12.75,4.25,23.25,38.25,18.0,27.25,11.75,3.25,5.5,8.25,4.25,
