,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04
0,0.0,0.0,0.0,13.5,30.5,75.75,86.25,51.75,4.5,21.0,25.5,17.0,0.0,58.5,16.5,33.75,26.5,21.25,14.75,10.75,8.25,50.75,30.75,33.5,19.5,10.5,11.5,3.0,30.0,8.5,10.0,27.75,3.75,36.25,4.5,0.0,0.0,18.0,13.75,0.0,0.0,7.5,15.75,38.0,23.5,22.75,19.75,24.25,16.75,18.25,22.5,,,,,,,
1,13.25,0.0,61.75,46.25,47.5,25.25,13.25,74.0,42.25,25.75,32.0,10.5,49.25,14.75,30.25,23.25,24.75,11.75,14.75,0.0,11.75,16.25,22.5,3.25,21.0,19.75,16.0,3.5,20.5,8.25,3.5,27.25,39.0,0.0,13.25,4.75,8.75,11.75,0.0,27.75,4.25,12.75,5.25,15.5,17.75,32.0,0.0,9.0,21.0,0.0,20.75,,,,,,,
2,0.0,0.0,24.0,0.0,13.25,77.25,58.75,48.75,4.75,14.0,30.25,31.5,0.0,65.0,35.25,47.5,10.25,10.0,12.5,9.25,5.0,36.5,19.0,19.25,26.0,20.25,0.0,15.0,36.5,20.5,17.75,34.75,5.75,32.5,9.0,12.0,0.0,18.5,10.25,0.0,10.25,8.25,10.75,37.5,33.0,19.25,3.5,30.0,0.0,25.5,38.5,,,,,,,
3,0.0,0.0,15.75,24.75,29.5,100.0,76.75,33.5,14.75,13.75,18.25,38.75,0.0,57.0,39.25,66.5,20.0,17.0,16.5,16.5,4.75,50.25,35.0,22.5,23.0,20.25,5.0,14.75,47.5,15.75,19.5,23.5,0.0,22.0,16.5,6.0,0.0,18.0,19.5,0.0,5.0,5.25,0.0,21.5,30.0,25.0,13.5,24.25,19.75,28.0,28.0,,,,,,,
4,11.25,0.0,25.0,44.5,46.0,61.25,45.0,82.5,67.75,22.75,14.0,30.0,66.25,23.0,49.25,38.75,19.0,0.0,31.25,14.25,10.5,12.0,32.5,9.0,19.5,21.5,9.25,0.0,24.0,0.0,14.0,52.25,57.25,4.25,11.0,13.5,30.5,31.5,0.0,39.5,0.0,29.75,27.5,20.0,17.0,38.0,12.5,7.0,15.0,26.0,16.5,,,,,,,
5,0.0,0.0,9.25,17.25,6.0,86.75,54.75,47.5,7.5,0.0,29.0,4.0,0.0,58.25,24.25,54.25,17.5,8.0,14.75,8.25,8.25,38.5,17.5,20.5,23.0,20.25,3.75,14.25,21.5,31.25,14.75,29.5,10.75,25.25,8.5,0.0,0.0,22.25,10.5,0.0,3.75,19.0,15.25,36.25,28.75,11.0,0.0,19.75,15.0,24.5,8.0,,,,,,,
6,8.25,0.0,48.0,22.0,43.0,7.5,24.5,60.5,52.75,6.0,19.25,14.75,42.75,47.0,29.75,19.75,33.5,10.25,25.5,17.75,32.5,14.5,9.0,15.5,9.0,28.25,13.75,10.0,20.25,5.0,4.75,37.25,27.5,0.0,15.5,10.75,19.5,30.75,0.0,13.75,4.75,14.25,23.25,26.25,18.75,42.75,0.0,16.75,23.5,8.75,33.0,,,,,,,
7,9.5,0.0,51.75,31.0,45.5,41.25,33.0,87.75,54.5,0.0,23.5,5.5,62.5,32.0,36.0,31.75,24.75,3.75,36.5,21.75,11.5,17.25,16.5,11.25,27.25,20.75,14.75,8.0,13.5,5.5,11.25,32.25,23.75,13.0,24.25,9.0,18.75,20.75,0.0,27.75,8.0,17.75,10.0,16.5,22.5,25.75,5.75,4.5,18.0,0.0,15.5,,,,,,,
8,26.0,7.0,45.75,18.5,43.75,57.75,12.5,61.0,27.0,5.25,21.75,20.5,25.5,32.75,29.75,3.75,32.0,3.75,11.5,18.0,33.5,19.0,42.25,3.75,15.75,15.0,15.5,4.0,16.25,0.0,8.0,4.0,28.0,0.0,28.75,4.5,12.25,8.25,14.75,15.25,8.5,8.0,5.0,33.5,24.75,35.75,12.0,12.0,44.5,4.25,35.25,,,,,,,
9,,0.0,33.0,7.75,33.0,65.25,37.5,63.75,7.0,18.25,37.25,16.75,44.75,45.25,32.5,45.5,29.0,12.0,20.75,7.75,4.75,33.25,24.75,8.0,9.25,9.25,8.5,3.75,33.5,13.0,16.0,21.75,22.75,13.75,24.5,0.0,5.25,34.5,11.5,4.75,4.75,4.75,17.0,11.0,12.75,24.5,4.0,13.25,13.5,17.75,18.25,13.25,,,,,,
10,,0.0,54.5,30.75,49.0,26.25,7.0,57.5,33.5,33.0,47.0,15.5,55.5,36.25,38.5,34.0,18.5,8.25,20.5,8.25,15.5,14.25,17.75,8.25,9.25,19.75,8.75,0.0,25.0,9.0,15.25,35.75,52.75,13.0,32.25,4.75,12.75,44.75,0.0,22.5,4.75,12.0,35.0,21.0,16.5,28.75,0.0,5.0,19.75,9.25,10.0,24.0,,,,,,
11,,0.0,6.75,14.5,22.25,83.5,48.25,46.75,13.5,25.5,18.5,25.5,0.0,65.0,30.0,23.75,8.75,3.75,3.75,16.75,12.5,37.75,11.5,47.25,27.75,19.0,8.75,12.5,27.0,23.5,17.25,32.75,9.0,13.75,25.5,4.5,0.0,22.0,26.25,0.0,0.0,13.0,6.5,41.5,14.0,25.25,9.5,18.75,25.25,20.75,25.0,4.0,,,,,,
