,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29
0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,12.0,36.5,0.0,0.0,0.0,24.25,0.0,13.25,0.0,0.0,0.0,23.5,0.0,35.25,0.0,0.0,0.0,0.0,14.75,0.0,0.0,22.75,0.0,0.0,0.0,26.0,9.25,0.0,21.0,0.0,0.0,0.0,41.5,27.0,16.25,58.75,58.0,0.0,0.0,45.0,41.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,34.5,20.0,17.75,0.0,20.25,0.0,12.0,36.5,0.0,0.0,0.0,13.75,0.0,13.25,47.5,0.0,24.25,13.5,0.0,25.0,0.0,0.0,0.0,0.0,14.75,0.0,20.5,35.0,21.0,0.0,24.25,26.0,0.0,0.0,33.5,21.25,0.0,0.0,15.75,16.0,39.75,19.25,58.0,0.0,0.0,32.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,28.25,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,27.5,11.75,0.0,23.0,10.5,0.0,0.0,10.75,14.5,0.0,0.0,0.0,0.0,0.0,0.0,19.5,54.75,0.0,0.0,31.25,0.0,10.0,0.0,21.25,11.0,0.0,19.25,10.5,23.0,42.0,25.5,60.0,61.75,0.0,26.25,22.0,10.25,0.0,36.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,20.25,0.0,12.0,36.5,0.0,0.0,0.0,24.25,0.0,13.25,25.0,0.0,0.0,23.5,0.0,35.25,0.0,0.0,0.0,0.0,14.75,0.0,20.5,45.25,21.0,0.0,24.25,26.0,0.0,0.0,33.5,0.0,0.0,0.0,30.0,16.0,16.25,33.75,58.0,0.0,0.0,45.0,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,9.25,0.0,0.0,0.0,12.75,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,33.0,0.0,21.25,0.0,9.75,13.25,31.0,25.0,0.0,0.0,34.25,13.5,17.0,0.0,12.75,0.0,0.0,0.0,30.25,53.25,0.0,13.5,20.0,0.0,0.0,39.0,45.0,45.25,14.0,36.25,0.0,0.0,49.25,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,10.75,0.0,0.0,0.0,17.5,0.0,0.0,55.25,0.0,0.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,39.75,25.0,19.5,0.0,0.0,39.25,53.25,16.5,57.75,0.0,38.0,0.0,20.5,0.0,20.25,0.0,19.5,43.5,0.0,0.0,65.5,14.0,14.0,0.0,39.75,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,19.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,18.25,23.0,0.0,0.0,0.0,23.25,0.0,11.25,0.0,14.0,0.0,10.25,0.0,71.5,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.0,0.0,0.0,0.0,11.5,11.5,0.0,22.0,0.0,0.0,0.0,17.0,12.25,52.75,45.75,38.0,0.0,0.0,25.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,20.0,27.25,0.0,0.0,0.0,0.0,20.75,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,12.25,0.0,20.25,0.0,20.5,0.0,0.0,21.75,31.75,18.5,40.0,20.75,38.75,0.0,0.0,31.25,22.0,0.0,0.0,55.75,0.0,0.0,0.0,12.75,75.0,0.0,61.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,16.5,0.0,0.0,68.0,22.75,0.0,0.0,10.75,0.0,11.5,32.75,0.0,0.0,0.0,0.0,0.0,13.5,13.0,34.0,0.0,0.0,10.75,44.25,23.25,0.0,0.0,24.5,0.0,31.25,0.0,0.0,0.0,0.0,0.0,18.25,31.75,0.0,34.75,11.75,0.0,0.0,30.75,48.25,61.0,41.5,36.25,0.0,0.0,22.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,9.25,0.0,20.0,41.25,0.0,0.0,44.75,11.0,41.25,0.0,0.0,0.0,0.0,0.0,29.25,50.75,0.0,0.0,0.0,0.0,9.25,0.0,20.25,0.0,10.25,9.75,10.25,0.0,65.0,0.0,46.0,48.5,0.0,0.0,11.0,23.25,0.0,62.5,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
