,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,25.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,0.0,6.5,0.0,0.0,18.0,18.0,46.5,0.0,7.5,33.0,73.75,18.75,68.0,11.75,65.0,0.0,46.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,11.0,10.5,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,12.25,28.5,0.0,18.5,0.0,19.0,0.0,0.0,0.0,0.0,18.75,29.0,0.0,6.5,0.0,20.5,5.75,6.0,11.75,11.75,32.5,35.25,50.0,18.75,42.25,0.0,52.0,21.25,44.0,59.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,10.75,33.25,0.0,0.0,0.0,19.25,10.25,0.0,0.0,0.0,0.0,0.0,0.0,17.25,0.0,0.0,0.0,7.75,0.0,57.5,12.25,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.75,0.0,0.0,0.0,19.25,0.0,0.0,22.75,0.0,0.0,0.0,56.0,32.0,14.0,24.5,43.25,0.0,39.5,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,20.25,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,7.5,21.5,34.0,0.0,0.0,14.5,8.5,11.25,28.25,12.25,20.25,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,12.75,11.25,0.0,22.25,11.0,32.5,11.0,47.25,15.0,28.5,33.25,36.5,38.25,0.0,11.25,23.0,25.0,39.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,9.75,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,29.25,20.0,57.25,0.0,0.0,0.0,0.0,44.0,0.0,39.25,9.25,52.0,0.0,0.0,21.25,40.0,19.0,0.0,51.75,100.0,23.25,22.25,44.5,81.25,0.0,21.0,33.5,46.0,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,33.5,29.5,46.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,18.75,0.0,32.5,21.5,0.0,0.0,75.0,77.5,59.25,34.5,24.25,22.75,0.0,28.75,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,19.75,0.0,0.0,34.25,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,8.75,20.5,0.0,0.0,21.25,19.25,20.25,0.0,19.75,24.5,48.5,0.0,0.0,36.5,0.0,21.25,0.0,23.0,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,12.25,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0.0,0.0,35.5,12.5,0.0,0.0,14.0,30.5,11.75,25.75,0.0,0.0,0.0,11.75,0.0,0.0,9.0,0.0,12.0,0.0,13.0,0.0,0.0,22.5,10.0,31.0,25.5,25.0,13.25,28.5,21.5,20.5,78.0,32.25,7.25,0.0,21.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,27.75,25.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,16.5,0.0,8.5,0.0,68.5,0.0,9.5,0.0,0.0,0.0,15.5,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,9.5,0.0,0.0,0.0,31.25,15.75,0.0,23.25,23.0,0.0,52.75,60.25,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.75,0.0,0.0,0.0,0.0,42.5,32.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,25.75,0.0,12.75,8.0,38.0,12.75,0.0,44.25,38.5,64.25,35.75,18.5,38.75,57.5,0.0,35.75,27.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
