,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,0.0,13.0,22.75,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0,32.75,0.0,12.0,0.0,60.75,35.5,22.25,86.75,0.0,0.0,0.0,0.0,0.0,0.0,13.5,52.25,14.0,0.0,0.0,,,,,,,,,,,,,,
1,0.0,21.25,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,0.0,41.0,51.5,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,10.25,21.0,0.0,0.0,33.25,11.25,10.75,11.75,0.0,0.0,0.0,0.0,0.0,25.0,46.25,71.5,70.5,0.0,47.75,,,,,,,,,,,,,,
2,0.0,21.75,0.0,0.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,25.5,24.75,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,22.0,0.0,12.25,20.75,45.0,11.75,0.0,38.0,0.0,0.0,0.0,0.0,24.75,25.0,0.0,23.0,13.75,0.0,48.5,,,,,,,,,,,,,,
3,0.0,13.75,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,11.0,61.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,10.75,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,40.5,14.0,79.25,0.0,27.25,,,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,0.0,0.0,61.75,55.0,24.25,34.25,24.75,0.0,11.75,74.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,35.25,0.0,0.0,,,,,,,,,,,,,,
5,0.0,53.25,0.0,0.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75,31.25,53.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,37.5,23.25,72.5,0.0,0.0,,,,,,,,,,,,,,
6,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,33.75,46.75,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.25,33.75,11.5,79.75,67.5,11.0,21.5,34.5,0.0,0.0,0.0,0.0,0.0,15.25,12.0,63.0,38.5,0.0,39.25,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,76.0,60.0,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.75,49.25,52.5,0.0,0.0,14.0,,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.25,0.0,45.25,23.75,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.25,20.75,22.0,44.5,45.25,23.0,20.25,42.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.0,0.0,0.0,0.0,,,,,,,,,,,,,
9,,13.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75,0.0,7.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.75,14.0,7.75,25.0,0.0,15.0,0.0,,,,,,,,,,,,,
